timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1491999416952,10,set wait,200,OK,setUp Thread Group 1-1,text,true,,0,1,1,null,0,1,0,ip-172-31-19-222,0,0
1491999417735,10,set wait,200,OK,setUp Thread Group 1-1,text,true,,0,1,1,null,0,1,0,ip-172-31-24-37,0,0
1491999417247,1072,239 /offer/,200,OK,Live bet - Fetch match data 1-1,text,true,,54596,1,3,https://spoon.sts.pl/offer/?ajaxCall=1,1046,1,0,ip-172-31-19-222,0,693
1491999418416,1,Debug Sampler,200,OK,Live bet 2-1,text,true,,204,1,3,null,0,1,0,ip-172-31-19-222,0,0
1491999418335,219,256 /main_opportunities/,200,OK,Live bet - Fetch match data 1-1,text,true,,33640,1,3,https://spoon.sts.pl/main_opportunities/?ajaxCall=1,196,1,0,ip-172-31-19-222,0,0
1491999418561,15,BeanShell Sampler,200,OK,Live bet - Fetch match data 1-1,text,true,,4,1,3,null,0,1,0,ip-172-31-19-222,0,0
1491999417456,946,1417 /pl/oferta/zaklady-bukmacherskie/,200,OK,Prematch 3-1,text,true,,40944,1,3,https://www.sts.pl/pl/oferta/zaklady-bukmacherskie/,914,1,0,ip-172-31-19-222,0,484
1491999418642,112,1419 /,200,OK,Prematch 3-1,text,true,,587,1,3,https://www.sts.pl/?ajaxCall=1&action=client_data,112,1,0,ip-172-31-19-222,0,0
1491999418755,276,1418 /,200,OK,Prematch 3-1,text,true,,14438,1,3,https://www.sts.pl/?action=rightBox&ajaxCall=1,266,1,0,ip-172-31-19-222,0,0
1491999419032,59,1420 /userdata/files/insider/people.txt,200,OK,Prematch 3-1,text,true,,5931,1,3,https://www.sts.pl/userdata/files/insider/people.txt?m=1,59,1,0,ip-172-31-19-222,0,0
1491999419092,56,1421 /userdata/files/json/notyfications.txt,200,OK,Prematch 3-1,text,true,,829,1,3,https://www.sts.pl/userdata/files/json/notyfications.txt,56,1,0,ip-172-31-19-222,0,0
1491999419435,0,Debug Sampler,200,OK,Live bet 2-1,text,true,,204,1,3,null,0,1,0,ip-172-31-19-222,0,0
1491999419436,399,230 /pl/oferta/zaklady-live-new/,200,OK,Live bet 2-1,text,true,,29240,1,3,https://www.sts.pl/pl/oferta/zaklady-live-new/,395,1,0,ip-172-31-19-222,0,61
1491999419148,741,1447 /pl/oferta/zaklady-bukmacherskie/zaklady-sportowe/,200,OK,Prematch 3-1,text,true,,1882,1,3,https://www.sts.pl/pl/oferta/zaklady-bukmacherskie/zaklady-sportowe/,741,1,0,ip-172-31-19-222,0,0
1491999419837,145,231 /,200,OK,Live bet 2-1,text,true,,844,1,3,https://www.sts.pl/,144,1,0,ip-172-31-19-222,0,0
1491999419983,34,242 /userdata/files/insider/people.txt,200,OK,Live bet 2-1,text,true,,5919,1,3,https://www.sts.pl/userdata/files/insider/people.txt?m=1,34,1,0,ip-172-31-19-222,0,0
1491999420018,110,243 /userdata/files/json/notyfications.txt,200,OK,Live bet 2-1,text,true,,817,1,3,https://www.sts.pl/userdata/files/json/notyfications.txt,110,1,0,ip-172-31-19-222,0,0
1491999420129,125,238 /,200,OK,Live bet 2-1,text,true,,587,1,3,https://www.sts.pl/?ajaxCall=1&action=client_data,124,1,0,ip-172-31-19-222,0,0
1491999419890,369,1448 /,200,OK,Prematch 3-1,text,true,,696,1,3,https://www.sts.pl/?ajaxCall=1&action=client_data,369,1,0,ip-172-31-19-222,0,59
1491999420256,88,246 /,200,OK,Live bet 2-1,text,true,,842,1,3,https://www.sts.pl/,88,1,0,ip-172-31-19-222,0,0
1491999420260,220,1450 /pl/oferta/zaklady-bukmacherskie/zaklady-sportowe/,200,OK,Prematch 3-1,text,true,,1131,1,3,https://www.sts.pl/pl/oferta/zaklady-bukmacherskie/zaklady-sportowe/?caller=ticket&ajaxCall=1&action=ticketRefresh&_=1488670268973,220,1,0,ip-172-31-19-222,0,0
1491999420481,135,1453 /,200,OK,Prematch 3-1,text,true,,14438,1,3,https://www.sts.pl/?action=rightBox&ajaxCall=1,134,1,0,ip-172-31-19-222,0,0
1491999420347,66,offer,200,OK,Live bet 2-1,text,true,,357597,1,3,null,0,1,0,ip-172-31-19-222,0,0
1491999420622,37,main_opportunities,200,OK,Live bet 2-1,text,true,,237901,1,3,null,0,1,0,ip-172-31-19-222,0,0
1491999420617,219,1423 bet1,200,OK,Prematch 3-1,text,true,,2701,1,3,https://www.sts.pl/pl/oferta/zaklady-bukmacherskie/zaklady-sportowe/?caller=ticket&data%5Boppty_info_number%5D=137&data%5Bid_odds%5D=127853394&data%5Bodds_value%5D=1.35&data%5Bid_opportunity%5D=83970308&data%5Bmatch_name%5D=Olsztyn+-+Lubin&data%5Btip_name_formated%5D=Olsztyn&data%5Boppty_type_name%5D=mecz&data%5Bticket_index%5D=UNKNOWN&ajaxCall=1&action=ticketAddBet&_=1491999420618&confirmip=1,219,1,0,ip-172-31-19-222,0,0
1491999420837,210,1423 bet2,200,OK,Prematch 3-1,text,true,,2891,1,3,https://www.sts.pl/pl/oferta/zaklady-bukmacherskie/zaklady-sportowe/?caller=ticket&data%5Boppty_info_number%5D=31&data%5Bid_odds%5D=128234768&data%5Bodds_value%5D=1.62&data%5Bid_opportunity%5D=84107802&data%5Bmatch_name%5D=Gyirmot+-+Videoton&data%5Btip_name_formated%5D=Videoton&data%5Boppty_type_name%5D=mecz&data%5Bticket_index%5D=UNKNOWN&ajaxCall=1&action=ticketAddBet&_=1491999420837&confirmip=1,209,1,0,ip-172-31-19-222,0,0
1491999421047,313,1423 bet3,200,OK,Prematch 3-1,text,true,,2969,1,3,https://www.sts.pl/pl/oferta/zaklady-bukmacherskie/zaklady-sportowe/?caller=ticket&data%5Boppty_info_number%5D=175&data%5Bid_odds%5D=127214462&data%5Bodds_value%5D=3.30&data%5Bid_opportunity%5D=83731009&data%5Bmatch_name%5D=Pol.+Bytom+-+Radomiak&data%5Btip_name_formated%5D=X&data%5Boppty_type_name%5D=mecz&data%5Bticket_index%5D=UNKNOWN&ajaxCall=1&action=ticketAddBet&_=1491999421048&confirmip=1,312,1,0,ip-172-31-19-222,0,0
